film_id,length,rating,"Average Rental Duration",Num_film_rentals,Rental_month,Category
64,151,PG-13,6,6,7,Drama
65,100,PG,3,5,7,Horror
66,53,NC-17,6,4,7,Children
67,77,PG-13,5,11,7,Action
68,122,NC-17,5,5,7,Children
69,85,R,3,10,7,Sci-Fi
70,142,NC-17,7,6,7,Animation
71,100,PG-13,3,5,7,Family
72,93,PG,6,6,7,Documentary
73,150,PG-13,5,11,7,Sci-Fi
74,162,PG,4,5,7,Music
75,163,G,6,5,7,Travel
76,103,NC-17,4,4,7,Music
77,61,G,5,9,7,New
78,85,PG,7,12,7,Animation
79,114,PG-13,5,11,7,Drama
80,148,G,7,4,7,Family
81,103,PG-13,6,5,7,Sci-Fi
82,71,G,3,4,7,Family
83,50,G,5,9,7,Family
84,102,PG,7,5,7,Travel
85,63,G,4,8,7,Documentary
86,121,R,6,12,7,Music
88,179,PG,7,6,7,Travel
89,63,G,7,11,7,Animation
90,63,R,3,8,7,New
91,98,PG,5,11,7,Classics
92,72,NC-17,7,5,7,Horror
93,121,PG,4,3,7,New
94,176,PG-13,7,2,7,Family
95,123,G,5,7,7,New
96,169,PG-13,4,5,7,New
97,56,G,7,11,7,Action
98,73,PG-13,4,6,7,Drama
99,136,PG,7,9,7,Comedy
100,161,R,7,9,7,Foreign
101,73,R,3,12,7,Documentary
102,60,R,4,1,7,Sports
103,133,PG,7,13,7,Travel
104,119,G,4,5,7,Foreign
105,125,NC-17,6,6,7,Action
106,61,G,4,4,7,Games
107,63,G,4,3,7,Drama
109,89,G,3,14,7,New
110,53,NC-17,4,8,7,Children
111,52,NC-17,3,7,7,Action
112,120,NC-17,4,8,7,Foreign
113,75,NC-17,4,6,7,Sports
114,61,NC-17,3,12,7,Sci-Fi
115,167,R,5,5,7,Action
116,70,R,4,7,7,Classics
117,135,NC-17,6,11,7,Games
118,85,R,7,7,7,Animation
119,176,G,6,9,7,Comedy
120,92,NC-17,3,3,7,Sports
121,151,PG,4,8,7,Animation
122,114,PG,7,7,7,Horror
123,85,G,6,6,7,Travel
124,163,PG-13,3,2,7,Children
125,61,NC-17,5,4,7,Travel
126,179,G,3,4,7,Action
127,112,G,5,11,7,Comedy
129,179,R,3,7,7,Documentary
130,110,PG-13,7,9,7,Action
131,152,PG,5,10,7,Classics
132,114,PG,6,8,7,Sci-Fi
133,117,NC-17,7,6,7,Music
134,51,PG,4,3,7,Animation
135,70,R,3,10,7,Sports
136,146,NC-17,7,5,7,New
137,66,PG,3,6,7,Sci-Fi
138,71,R,5,9,7,Sci-Fi
139,114,PG,7,9,7,Family
140,87,G,6,7,7,Sci-Fi
141,185,PG-13,6,7,7,Games
142,122,PG,3,9,7,Documentary
143,142,PG,6,10,7,Drama
145,124,G,5,6,7,Family
146,107,G,6,4,7,Drama
147,101,NC-17,5,9,7,Family
149,150,NC-17,7,7,7,Children
150,101,PG,7,7,7,Documentary
151,143,NC-17,5,3,7,Sci-Fi
152,90,PG-13,5,7,7,Children
153,165,G,7,5,7,Sci-Fi
154,81,G,6,10,7,Animation
155,150,PG-13,6,8,7,New
156,164,G,3,2,7,Documentary
157,143,PG-13,7,6,7,Children
158,124,R,6,8,7,Music
159,58,R,5,10,7,Comedy
160,65,PG-13,4,6,7,Animation
161,70,NC-17,6,4,7,Music
162,95,R,4,10,7,Action
163,139,PG-13,4,4,7,New
164,55,PG,4,7,7,Documentary
165,70,G,7,9,7,Sci-Fi
166,149,G,6,11,7,Classics
167,109,NC-17,6,10,7,Travel
168,67,R,5,3,7,Children
169,76,NC-17,3,6,7,Travel
170,120,PG-13,5,6,7,Foreign
172,112,NC-17,7,13,7,Drama
173,65,PG-13,7,7,7,Drama
174,180,NC-17,6,12,7,Music
175,122,PG-13,3,7,7,Family
176,87,PG-13,6,8,7,Sports
177,172,R,4,6,7,Sci-Fi
178,115,G,6,3,7,Comedy
179,173,G,4,7,7,Drama
180,184,PG-13,4,3,7,Classics
181,166,PG-13,7,10,7,Travel
182,185,G,7,2,7,Comedy
183,112,R,4,8,7,Family
184,92,PG-13,3,9,7,Classics
185,146,PG,3,4,7,Foreign
186,64,NC-17,6,7,7,Drama
187,57,NC-17,5,3,7,Sports
188,136,PG,7,4,7,Comedy
189,139,NC-17,3,5,7,Games
190,172,NC-17,5,6,7,Classics
191,143,PG-13,6,7,7,Children
193,153,G,5,9,7,Animation
194,104,PG,6,7,7,Action
196,69,G,7,2,7,Classics
197,112,R,4,3,7,Sports
199,56,R,4,10,7,Documentary
200,133,PG-13,7,13,7,Games
201,176,PG,7,6,7,Foreign
202,161,G,5,6,7,Comedy
203,84,G,5,7,7,Sci-Fi
204,106,PG,4,10,7,Drama
205,58,NC-17,3,4,7,Action
206,144,G,6,12,7,Documentary
207,121,PG,7,6,7,Foreign
208,89,PG-13,7,4,7,Animation
209,99,NC-17,6,5,7,Drama
210,130,NC-17,3,5,7,Action
211,165,PG-13,7,4,7,Games
212,185,G,7,8,7,Action
213,104,R,4,6,7,Family
214,59,PG-13,3,2,7,Children
215,57,PG,4,7,7,Games
216,113,G,3,5,7,New
218,122,NC-17,7,10,7,Drama
219,51,PG-13,6,6,7,Documentary
220,106,NC-17,7,13,7,Music
222,64,R,4,9,7,Horror
223,76,NC-17,7,4,7,Animation
224,81,G,7,4,7,Travel
225,76,PG-13,3,4,7,Drama
226,56,G,4,7,7,New
227,88,R,4,7,7,Games
228,143,PG-13,4,10,7,Classics
229,87,R,6,5,7,Action
230,107,G,7,3,7,Drama
231,63,R,7,6,7,Family
232,147,NC-17,7,4,7,Games
233,141,PG,3,6,7,Travel
234,94,R,6,11,7,Sci-Fi
235,68,PG-13,6,9,7,Sci-Fi
236,100,R,4,7,7,Games
237,47,G,3,3,7,Sports
238,57,G,4,3,7,Children
239,122,G,5,13,7,Animation
240,120,PG-13,7,3,7,Sci-Fi
241,125,NC-17,4,7,7,Animation
242,68,R,4,9,7,Comedy
243,49,NC-17,3,6,7,Animation
244,139,NC-17,5,7,7,Music
245,177,R,4,10,7,Animation
246,154,R,5,4,7,Foreign
247,47,G,3,10,7,Comedy
248,177,NC-17,6,2,7,Documentary
249,176,G,7,6,7,Classics
250,170,NC-17,4,5,7,Action
251,133,NC-17,6,7,7,New
252,135,PG,6,10,7,Action
253,61,PG-13,5,12,7,Action
254,159,PG-13,4,6,7,Sports
255,175,NC-17,6,8,7,Music
256,178,R,6,4,7,Sports
257,110,G,3,5,7,Travel
258,96,PG,6,5,7,Horror
259,116,NC-17,4,2,7,Animation
260,132,G,3,6,7,Sports
261,171,G,5,4,7,Documentary
262,119,NC-17,5,3,7,Family
263,154,R,6,11,7,Sports
264,101,G,6,3,7,Games
265,168,PG,5,4,7,Comedy
266,141,PG-13,4,10,7,Classics
267,140,NC-17,4,7,7,New
268,96,NC-17,6,2,7,Animation
269,98,R,3,10,7,Family
270,85,NC-17,7,10,7,New
271,148,G,5,9,7,Action
272,153,NC-17,5,6,7,Drama
273,107,PG,6,10,7,Family
274,67,PG,4,10,7,Documentary
275,85,PG,3,8,7,Horror
276,115,NC-17,6,5,7,Comedy
277,126,PG-13,4,5,7,Horror
278,155,NC-17,4,3,7,Music
279,152,NC-17,7,4,7,Sports
280,177,G,7,8,7,Children
281,143,G,6,6,7,Games
282,92,NC-17,5,8,7,Drama
283,85,NC-17,6,5,7,New
284,77,NC-17,5,11,7,Music
285,51,PG-13,3,10,7,Sci-Fi
286,158,NC-17,7,7,7,Travel
287,176,R,5,5,7,Action
288,167,R,7,12,7,Travel
289,66,G,5,3,7,New
290,163,PG,4,5,7,Foreign
291,174,PG-13,5,6,7,Sports
292,51,G,3,8,7,Action
293,167,G,6,5,7,Sports
294,138,PG-13,5,8,7,Travel
295,97,PG,3,14,7,Documentary
296,178,R,5,6,7,Sci-Fi
297,122,G,6,3,7,Classics
298,172,PG-13,4,8,7,Sci-Fi
299,144,PG-13,4,8,7,Travel
300,102,PG-13,5,8,7,Animation
301,155,R,4,12,7,Horror
302,131,G,5,8,7,Games
303,58,PG-13,6,11,7,Action
304,130,G,3,11,7,Children
305,91,PG,6,11,7,New
306,104,PG-13,3,4,7,Games
307,77,NC-17,6,9,7,Travel
308,142,PG,3,6,7,Comedy
309,98,R,6,10,7,Family
310,158,R,5,2,7,Games
311,72,PG,4,10,7,Foreign
312,75,R,4,6,7,Sci-Fi
313,118,G,5,10,7,Horror
314,91,R,3,7,7,Animation
315,156,R,4,4,7,Family
316,173,R,5,2,7,Games
317,148,PG,4,6,7,Comedy
319,125,R,4,11,7,Sci-Fi
320,80,PG-13,4,10,7,New
321,123,NC-17,3,6,7,New
322,100,G,5,8,7,Sports
323,179,R,7,4,7,Sports
324,148,PG-13,3,9,7,Comedy
326,69,NC-17,6,6,7,Animation
327,158,PG,3,10,7,Action
328,131,NC-17,7,5,7,Children
329,63,R,4,5,7,Action
330,112,NC-17,7,8,7,Animation
331,90,NC-17,6,11,7,Games
333,126,R,7,8,7,Music
334,65,NC-17,6,10,7,Horror
335,133,PG-13,5,3,7,Comedy
336,99,PG,5,6,7,Documentary
337,73,R,6,5,7,Foreign
338,51,PG,6,4,7,Sci-Fi
339,111,R,5,3,7,Travel
340,183,PG-13,6,3,7,New
341,82,PG,5,13,7,Classics
342,83,R,7,4,7,Travel
343,94,PG,6,3,7,Children
344,178,PG-13,3,8,7,Children
345,161,PG,3,8,7,Family
346,128,R,4,7,7,Classics
347,119,PG-13,7,6,7,Travel
348,86,PG-13,7,6,7,Family
349,185,PG-13,4,11,7,Animation
350,80,G,3,8,7,Sci-Fi
351,106,PG,4,10,7,Horror
352,176,PG-13,4,3,7,Games
353,125,NC-17,6,11,7,Foreign
354,85,G,6,10,7,Children
355,101,R,7,3,7,Animation
356,102,R,5,11,7,Children
357,114,G,7,5,7,Classics
358,163,R,5,11,7,Classics
360,103,G,4,4,7,Action
361,89,NC-17,5,11,7,Sports
362,115,PG-13,7,2,7,Games
363,54,R,3,8,7,Music
364,73,NC-17,3,3,7,New
365,154,R,4,5,7,Comedy
366,93,G,3,11,7,Drama
367,153,R,6,11,7,Sci-Fi
368,84,R,7,2,7,Drama
369,56,PG,4,13,7,Sci-Fi
370,108,R,4,9,7,Children
371,129,G,5,4,7,Action
372,140,R,5,3,7,Sports
373,156,G,7,7,7,Children
374,117,PG,3,14,7,Sci-Fi
375,85,NC-17,4,4,7,Action
376,155,G,4,11,7,Foreign
377,135,G,7,10,7,Family
378,93,NC-17,5,15,7,Music
379,166,R,7,7,7,Drama
380,176,PG,7,7,7,Foreign
381,150,R,7,6,7,Games
382,137,PG,3,13,7,Games
383,111,NC-17,6,9,7,Sports
384,49,R,5,3,7,Music
385,139,PG-13,6,7,7,Comedy
387,100,G,7,10,7,Games
388,70,NC-17,5,11,7,Comedy
389,127,PG-13,3,5,7,Sports
390,84,R,4,4,7,Sci-Fi
391,146,PG-13,6,11,7,Family
392,51,NC-17,5,8,7,Children
393,47,PG-13,6,4,7,Documentary
394,146,R,7,5,7,Sci-Fi
395,108,R,4,8,7,Action
396,62,G,5,5,7,Drama
397,107,NC-17,5,10,7,Sci-Fi
398,47,NC-17,5,8,7,Music
399,100,G,6,3,7,Foreign
400,72,R,7,2,7,Documentary
401,168,NC-17,6,3,7,Drama
402,52,G,3,9,7,Animation
403,121,PG-13,5,14,7,Drama
405,76,NC-17,6,4,7,Travel
406,181,R,5,9,7,Games
407,47,PG-13,5,2,7,Documentary
408,69,R,4,10,7,Games
409,59,G,3,9,7,Children
410,48,PG,7,5,7,Comedy
411,49,NC-17,5,1,7,Music
412,102,G,6,10,7,Documentary
413,169,NC-17,7,3,7,Comedy
414,75,PG,3,11,7,Foreign
415,84,R,3,9,7,Horror
416,110,R,6,9,7,Foreign
417,93,G,5,9,7,Action
418,157,PG-13,5,10,7,Drama
420,128,PG,7,7,7,Sports
421,78,PG-13,7,7,7,Foreign
422,136,NC-17,7,4,7,Sci-Fi
423,69,PG,7,6,7,Children
424,149,R,6,6,7,Children
425,88,R,6,4,7,Classics
426,185,R,7,5,7,Music
427,103,R,5,7,7,Documentary
428,141,PG-13,6,9,7,Family
429,84,R,3,7,7,Sports
430,49,G,7,7,7,Animation
431,176,G,3,4,7,Foreign
432,139,NC-17,4,8,7,Classics
433,95,PG,4,11,7,Animation
434,139,R,3,12,7,Travel
435,181,PG-13,6,3,7,Foreign
436,122,NC-17,4,7,7,New
437,109,R,7,9,7,Family
438,68,NC-17,3,6,7,Games
439,151,PG-13,4,9,7,Drama
440,105,G,6,4,7,Foreign
441,125,PG-13,5,2,7,Documentary
442,65,NC-17,6,3,7,Family
443,49,PG,6,12,7,Comedy
444,83,NC-17,3,10,7,Comedy
445,100,G,5,10,7,Classics
446,150,PG,5,6,7,Sports
447,131,R,5,8,7,Games
448,172,PG-13,3,8,7,New
449,119,PG-13,4,6,7,Sci-Fi
450,84,NC-17,5,11,7,Children
451,160,NC-17,7,8,7,Travel
452,122,R,4,5,7,Foreign
453,178,PG-13,3,8,7,Sports
454,180,PG-13,6,3,7,Music
455,103,NC-17,7,7,7,Foreign
456,167,NC-17,6,9,7,Animation
457,157,NC-17,5,10,7,Documentary
458,135,NC-17,4,6,7,Family
459,74,NC-17,4,3,7,Foreign
460,178,PG-13,3,13,7,Foreign
461,123,NC-17,3,8,7,Animation
462,78,NC-17,5,9,7,Music
463,116,PG,4,8,7,Sports
464,107,PG-13,3,9,7,Animation
465,59,R,4,9,7,New
466,63,PG-13,6,4,7,Documentary
467,181,G,6,8,7,Foreign
468,97,PG,5,14,7,Children
469,46,PG,7,5,7,Classics
470,79,R,4,3,7,Animation
471,84,NC-17,7,11,7,Classics
472,174,G,3,4,7,Travel
473,181,PG-13,5,8,7,Drama
474,174,NC-17,6,5,7,Sports
475,135,G,6,2,7,Horror
476,130,NC-17,5,11,7,Family
477,118,PG,5,5,7,Music
478,112,G,4,5,7,Comedy
479,128,PG,7,8,7,Family
480,84,R,3,7,7,Classics
481,58,PG,4,5,7,New
482,102,R,3,5,7,Classics
483,171,NC-17,3,7,7,Games
484,172,NC-17,3,7,7,Classics
485,60,PG,6,3,7,Children
486,59,R,7,9,7,Foreign
487,124,PG-13,6,4,7,Classics
488,105,NC-17,3,8,7,Sports
489,54,PG-13,4,12,7,Animation
490,121,G,4,4,7,New
491,74,NC-17,4,8,7,Children
492,134,NC-17,6,3,7,New
493,92,R,5,6,7,Foreign
494,120,PG-13,4,9,7,Horror
496,179,PG-13,3,8,7,Travel
498,161,R,7,3,7,Family
499,184,NC-17,3,4,7,Family
500,163,PG-13,5,7,7,Foreign
501,141,R,3,7,7,Action
502,71,PG-13,4,9,7,Comedy
503,171,R,3,5,7,Sports
504,46,PG-13,5,11,7,Drama
505,46,PG-13,6,7,7,Children
506,67,PG,4,9,7,Horror
507,113,NC-17,4,2,7,Games
508,144,PG-13,6,6,7,Games
509,78,NC-17,5,5,7,Children
510,181,G,6,7,7,Animation
511,175,NC-17,7,7,7,Action
512,110,PG-13,5,7,7,Classics
513,153,PG-13,6,4,7,Travel
514,69,PG-13,6,8,7,Drama
515,113,PG,7,4,7,Children
516,59,PG,7,4,7,Music
517,167,NC-17,3,3,7,Sports
518,140,PG,5,9,7,Travel
519,138,G,3,3,7,Sports
520,91,NC-17,7,2,7,Sci-Fi
521,147,NC-17,7,12,7,Drama
522,137,NC-17,4,3,7,Comedy
523,174,R,7,4,7,Classics
524,50,PG,6,7,7,Comedy
525,140,R,4,12,7,Classics
526,120,R,7,4,7,Travel
527,85,PG,4,11,7,Horror
528,155,NC-17,4,3,7,Family
529,67,G,3,7,7,Comedy
530,108,PG-13,5,4,7,Action
531,137,R,3,14,7,Foreign
532,80,PG,5,7,7,Sports
533,98,PG-13,4,4,7,Foreign
534,70,PG-13,5,8,7,Family
535,181,R,6,8,7,Horror
536,65,PG,3,7,7,Classics
537,75,G,3,5,7,Classics
538,162,PG-13,7,6,7,New
539,152,NC-17,7,4,7,Drama
540,97,PG-13,7,6,7,Music
541,74,NC-17,5,3,7,Animation
542,52,G,3,8,7,Action
543,116,R,5,3,7,Travel
544,147,R,4,7,7,Documentary
545,178,PG-13,4,11,7,Foreign
546,98,PG-13,7,5,7,Games
547,117,PG,3,4,7,Children
548,53,R,3,3,7,Classics
549,171,PG-13,4,4,7,Action
550,74,NC-17,6,4,7,Family
551,138,PG,3,10,7,New
552,130,PG,5,8,7,Documentary
553,136,PG-13,4,4,7,Children
554,159,G,6,10,7,Classics
555,133,PG,4,7,7,Comedy
556,127,PG-13,6,9,7,Games
557,177,PG,5,7,7,Family
558,71,PG-13,3,3,7,New
559,114,G,7,14,7,Sci-Fi
560,62,NC-17,6,9,7,Games
561,123,NC-17,6,5,7,New
562,151,PG-13,6,9,7,Music
563,165,R,6,11,7,Games
564,161,PG,4,5,7,Animation
565,56,PG-13,6,3,7,Foreign
566,72,R,6,4,7,Foreign
567,80,G,3,6,7,Foreign
568,77,NC-17,4,7,7,Comedy
569,147,G,7,2,7,Animation
570,104,NC-17,5,7,7,Sports
571,161,PG-13,6,8,7,Documentary
572,64,PG-13,4,12,7,Sci-Fi
573,105,PG-13,6,5,7,Children
574,86,G,3,8,7,Action
575,48,G,3,8,7,Documentary
576,122,PG,7,3,7,Documentary
577,64,PG,4,5,7,Sports
578,142,PG-13,4,9,7,Classics
579,149,PG-13,3,8,7,Action
580,166,PG-13,3,9,7,New
581,59,G,4,6,7,Music
582,162,PG-13,3,3,7,Animation
583,164,PG-13,3,8,7,Animation
584,180,PG-13,6,3,7,Foreign
585,105,G,4,6,7,Drama
586,60,PG,4,7,7,Action
587,77,NC-17,6,4,7,Documentary
588,175,NC-17,4,6,7,Children
589,74,PG,3,4,7,Documentary
590,135,PG,3,10,7,New
591,182,PG,6,5,7,Games
592,107,PG,6,6,7,Music
593,158,G,6,7,7,Horror
594,126,NC-17,6,4,7,Action
595,83,PG,7,12,7,Foreign
596,171,PG-13,4,11,7,Games
597,184,G,5,4,7,Games
598,57,G,6,6,7,Sports
599,103,R,3,5,7,Sports
600,166,PG,5,5,7,Horror
601,79,PG-13,4,8,7,Travel
602,146,PG,5,8,7,Sci-Fi
603,53,PG,6,10,7,Family
604,160,G,4,5,7,Comedy
605,157,PG,7,3,7,Foreign
606,160,NC-17,3,6,7,Sports
608,166,PG,6,10,7,Children
609,185,G,7,14,7,Travel
610,129,R,7,9,7,Family
611,73,PG,7,8,7,Classics
612,180,G,6,2,7,Sports
613,92,NC-17,5,4,7,Comedy
614,178,PG-13,5,11,7,Games
615,180,PG-13,6,6,7,Animation
616,92,NC-17,4,8,7,Documentary
617,50,PG-13,4,5,7,Family
618,132,PG,3,8,7,Drama
619,161,R,3,9,7,Sports
620,131,NC-17,5,8,7,Sci-Fi
621,75,PG-13,5,11,7,Family
622,159,G,4,4,7,Documentary
623,75,PG,4,6,7,Foreign
624,149,PG,3,10,7,Games
625,83,NC-17,3,11,7,Sci-Fi
626,57,G,5,7,7,Children
627,67,NC-17,4,4,7,Documentary
628,172,PG,5,8,7,Sports
629,128,NC-17,7,6,7,Documentary
630,48,PG-13,7,4,7,Drama
631,64,G,4,8,7,Sports
632,145,NC-17,5,5,7,New
633,54,PG-13,6,4,7,Classics
634,48,NC-17,6,6,7,Family
635,58,PG,7,3,7,New
636,161,PG,5,4,7,Music
637,131,PG,7,7,7,Sci-Fi
638,156,G,7,12,7,Comedy
639,92,PG,7,6,7,Family
640,102,R,5,5,7,Foreign
641,76,PG-13,4,9,7,Foreign
643,118,R,3,8,7,Drama
644,115,PG,7,12,7,Animation
645,118,PG,7,9,7,Travel
646,169,NC-17,6,9,7,Games
647,129,NC-17,4,9,7,Music
648,148,PG-13,7,6,7,Travel
649,85,R,4,11,7,Animation
650,144,G,3,8,7,Documentary
651,84,PG-13,3,10,7,Animation
652,126,R,3,6,7,Classics
653,102,G,3,4,7,Horror
654,93,G,4,6,7,Games
655,109,NC-17,5,5,7,Sci-Fi
656,128,PG,3,3,7,Travel
657,48,PG-13,5,12,7,Comedy
658,121,PG-13,7,5,7,Horror
659,109,PG-13,3,4,7,Action
660,107,PG,7,6,7,Comedy
661,157,PG-13,5,6,7,Foreign
662,118,PG,3,4,7,Drama
663,99,NC-17,7,6,7,Classics
664,65,PG,6,7,7,Action
665,175,PG,4,10,7,Horror
666,145,PG-13,4,7,7,Drama
667,160,PG-13,3,5,7,Sports
668,80,PG,7,8,7,Sports
670,48,PG,4,9,7,Documentary
672,82,PG-13,7,7,7,Comedy
673,118,PG-13,3,7,7,Music
674,99,PG,3,4,7,Foreign
675,60,NC-17,6,2,7,New
676,137,PG-13,7,8,7,Sports
677,136,NC-17,6,6,7,New
678,77,G,3,8,7,Sports
679,50,PG,6,7,7,Family
680,103,PG,4,9,7,Comedy
681,100,PG,4,9,7,Sports
682,134,PG-13,4,5,7,Family
683,60,NC-17,5,11,7,Drama
684,173,NC-17,4,2,7,Games
685,132,PG-13,6,3,7,New
686,84,R,5,6,7,New
687,138,NC-17,6,12,7,Documentary
688,61,PG,6,6,7,Children
689,137,PG,5,7,7,Foreign
690,185,PG-13,7,9,7,Animation
691,159,PG-13,6,8,7,Sports
692,179,G,3,5,7,Animation
693,115,PG,5,7,7,Animation
694,98,PG-13,6,8,7,Classics
695,144,PG,6,4,7,Family
696,114,NC-17,6,5,7,Animation
697,53,G,7,15,7,Action
698,71,NC-17,3,10,7,Documentary
699,106,PG,7,3,7,Games
700,115,R,4,3,7,Family
702,89,G,4,11,7,Horror
703,100,PG,6,4,7,Animation
704,121,NC-17,3,7,7,Comedy
705,88,R,4,5,7,Foreign
706,163,PG,5,8,7,Drama
707,177,R,5,7,7,Action
708,112,R,4,7,7,Documentary
709,147,NC-17,7,8,7,Drama
710,120,R,4,11,7,Family
711,154,R,4,6,7,Sci-Fi
714,73,NC-17,6,4,7,Sci-Fi
715,147,PG,3,12,7,Family
716,136,PG-13,6,8,7,Horror
717,97,NC-17,6,7,7,Action
718,73,G,7,4,7,Music
719,182,PG,7,4,7,Sports
720,179,NC-17,3,9,7,New
721,182,PG-13,7,4,7,Music
722,123,NC-17,5,5,7,Horror
723,82,PG-13,3,7,7,Sci-Fi
724,110,R,5,7,7,Family
725,167,R,6,6,7,Classics
726,61,PG-13,7,3,7,Foreign
727,117,PG,6,9,7,Family
728,63,R,3,8,7,Drama
729,177,PG,5,6,7,Sports
730,46,PG-13,3,12,7,New
731,153,PG-13,7,4,7,Classics
732,58,G,5,7,7,Action
733,149,PG-13,4,8,7,Sports
734,158,R,4,6,7,Documentary
735,102,PG-13,7,13,7,Children
736,134,R,4,5,7,Family
737,102,G,4,9,7,Horror
738,178,PG-13,3,11,7,Foreign
739,145,PG-13,4,8,7,Drama
740,153,PG-13,5,4,7,Horror
741,81,NC-17,7,10,7,Music
743,60,PG,7,9,7,Animation
744,89,PG-13,4,7,7,Classics
745,162,PG-13,5,9,7,Sports
746,118,NC-17,3,8,7,Games
747,171,R,5,7,7,Games
748,109,PG-13,4,14,7,Action
749,153,R,6,6,7,Horror
750,145,R,3,3,7,New
751,181,NC-17,6,4,7,New
752,101,NC-17,6,3,7,Music
753,48,PG,3,14,7,Family
754,150,PG-13,6,3,7,Comedy
755,99,PG,5,12,7,Children
756,80,PG-13,7,5,7,Comedy
757,106,G,4,8,7,Documentary
758,125,G,5,4,7,Drama
759,73,R,4,9,7,New
760,110,G,5,13,7,New
761,154,PG,7,4,7,Children
762,154,G,6,7,7,Games
763,75,G,3,9,7,Sports
764,150,G,3,13,7,Sports
765,182,R,7,6,7,Comedy
766,84,PG-13,5,6,7,Drama
767,183,NC-17,6,16,7,Music
768,102,PG-13,3,8,7,Children
769,151,PG-13,5,2,7,Foreign
770,147,G,5,4,7,Foreign
771,137,NC-17,3,11,7,Drama
772,80,PG,4,10,7,Drama
773,112,NC-17,6,10,7,Sports
774,182,NC-17,3,6,7,Comedy
775,110,PG-13,4,10,7,Drama
776,90,PG,6,10,7,Documentary
777,158,PG,5,8,7,Sports
778,109,G,3,9,7,Family
779,54,R,4,4,7,Sports
780,98,PG,7,6,7,Family
781,127,R,4,3,7,Games
782,60,PG-13,6,11,7,Sports
783,93,PG,5,5,7,Travel
784,47,PG,7,5,7,Travel
785,80,PG,6,10,7,Travel
786,113,R,7,10,7,Children
787,125,G,4,3,7,Travel
788,104,R,5,8,7,Documentary
789,79,PG-13,7,14,7,Foreign
790,67,PG-13,6,12,7,Drama
791,167,PG-13,3,10,7,Documentary
792,154,PG-13,7,6,7,Foreign
793,139,R,6,7,7,Action
794,52,G,5,6,7,Action
795,111,R,7,6,7,Family
796,135,NC-17,3,8,7,Sports
797,67,R,7,7,7,Music
798,74,PG,4,6,7,Sci-Fi
799,51,NC-17,3,3,7,Horror
800,126,PG-13,7,9,7,Horror
803,179,R,7,9,7,Drama
804,129,PG-13,7,9,7,Horror
805,64,G,5,9,7,Animation
806,137,PG,4,8,7,New
807,87,NC-17,4,7,7,Games
808,84,R,5,3,7,Classics
809,156,PG-13,5,7,7,Sports
810,147,PG,5,8,7,Family
811,60,G,4,6,7,Travel
812,50,PG-13,7,8,7,Documentary
813,184,R,7,6,7,Sports
814,110,PG,6,9,7,Comedy
815,74,PG-13,4,3,7,Classics
816,62,G,3,10,7,Animation
817,185,R,7,4,7,Sci-Fi
818,180,NC-17,4,10,7,Drama
819,165,PG-13,3,5,7,Music
820,184,NC-17,3,8,7,Animation
821,184,NC-17,6,6,7,Foreign
822,169,R,6,3,7,Family
823,143,R,4,10,7,Action
824,52,NC-17,4,4,7,Family
825,165,PG-13,6,6,7,Action
826,124,PG-13,7,3,7,Travel
827,141,NC-17,5,8,7,Drama
828,79,G,7,5,7,Classics
829,138,PG-13,7,6,7,Family
830,149,R,7,8,7,Horror
